Nome: SANTA MARIA
Codigo Estacao: 83936
Latitude: -29.724796
Longitude: -53.720465
Altitude: 103.1
Situacao: Operante
Data Inicial: 2017-01-01
Data Final: 2017-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2017-01-01;3.6;9.9;0;35;27.52;22;79.75;1.266667;
2017-01-02;3.4;8.7;2.5;34;27.64;24;86.5;2.3;
2017-01-03;2.7;5.6;4.4;34.4;28.6;22.6;75.25;1.2;
2017-01-04;4.6;4;13;31.8;25.28;21;88.25;1.933333;
2017-01-05;2;1.7;13.5;29.6;24.8;21;92.25;1.033333;
2017-01-06;1.5;1.8;3.5;26.8;23;19.6;80;2.7;
2017-01-07;2.7;.8;0;30;24.68;20.4;88.25;1.7;
2017-01-08;1.4;1.6;.3;29.4;25.96;21.8;87.25;1.266667;
2017-01-09;2.2;4;6.6;32.6;26.6;22;84;1.833333;
2017-01-10;2.7;2.5;54.6;29.6;24.72;21.6;86.25;1.366667;
2017-01-11;2;10.4;11;30.4;25.48;21.8;79.75;1.966667;
2017-01-12;3.3;11.8;0;30.6;25.16;20.4;77.5;2.233333;
2017-01-13;3.5;10;0;36;28.16;20.2;73.5;.566667;
2017-01-14;4.1;4;0;33.2;26.32;22.4;86;.833333;
2017-01-15;1.8;5;1.8;31.4;26.64;20.8;80;3.633333;
2017-01-16;3.1;1;19.4;27.8;24.2;21.6;88.75;1.733333;
2017-01-17;1.7;7;36.4;30.2;24.44;20.2;82.5;3.233333;
2017-01-18;2.4;12;3.8;31.8;26.12;21.6;79.75;.966667;
2017-01-19;3.5;12.4;1;29.6;23.84;19;71.25;2.833333;
2017-01-20;5.9;11.8;0;30.6;24.04;18.4;74.75;2.466667;
2017-01-21;4.7;10.9;0;30.2;24.12;18.8;71.25;2.766667;
2017-01-22;4.6;9.9;0;30.8;24.36;18.6;79.75;1.533333;
2017-01-23;4.4;6.7;0;31.4;26.04;21.2;78.75;1.8;
2017-01-24;3.4;3.9;0;32.4;24.28;21.2;91;1.333333;
2017-01-25;1.7;6.2;11.4;29;22.96;19.6;89.5;1.3;
2017-01-26;2;8.2;12.8;26.8;21.2;17.8;76.25;1.666667;
2017-01-27;2.8;11.8;0;27.2;21;15.8;70.75;1.1;
2017-01-28;3.5;11.6;0;29.6;22.32;14.2;75;1.833333;
2017-01-29;4.5;10;0;32.4;25.96;19.6;74.75;2.833333;
2017-01-30;3.9;4.1;0;32.4;25.04;21.8;88.75;1.6;
2017-01-31;2;6.5;11.2;31.8;25.44;22.6;83.75;1.7;
2017-02-01;2.6;4.7;.5;28.8;24.6;23;89.5;1.6;
2017-02-02;1.9;3.1;19.5;30.8;24.56;21.4;83.5;.933333;
2017-02-03;1.9;10.4;1.9;32.6;25.96;20.6;82;1.866667;
2017-02-04;2.6;11.1;0;34;27.76;20.8;76.5;1.433333;
2017-02-05;3.8;5;16.3;29.6;24.56;22.4;75.5;3.033333;
2017-02-06;4.2;9.5;0;25.8;20.32;17.4;75.25;1.533333;
2017-02-07;3;10.5;0;27.8;21.08;14.2;77.25;.766667;
2017-02-08;3;10;0;28;22.32;16.6;75;2.633333;
2017-02-09;4;9.7;.1;32.4;23.52;18.2;84;2.966667;
2017-02-10;4.1;6;81.2;31;23.44;19.6;86;1.133333;
2017-02-11;2.2;.1;12;24.6;23;21.2;95;1.633333;
2017-02-12;.5;3.7;8.4;29.4;23.88;21;92.75;.333333;
2017-02-13;1.6;10.4;4.4;31.2;25.52;21.4;77.25;1.466667;
2017-02-14;4.5;8.3;0;32.2;25.84;20.2;74.25;2.133333;
2017-02-15;2.9;7.6;0;30.8;26.4;23.4;87.5;1.8;
2017-02-16;1.9;6.6;20.4;29;25.48;22.4;75.5;2.333333;
2017-02-17;2.9;2.5;13.2;31.4;24.84;20.6;82;1.633333;
2017-02-18;3.4;8.6;0;35.6;26.92;22.4;77.25;2.933333;
2017-02-19;5.1;7.6;8.7;33.4;26.44;23;85;1.333333;
2017-02-20;2.1;3.9;22.9;32.8;25.84;23.2;89.5;1.566667;
2017-02-21;1.6;.3;1;28.6;24.36;22.4;94.75;1.1;
2017-02-22;.8;4.1;6.9;31.8;25;22.6;90.25;1.2;
2017-02-23;2;9.8;2.7;32;25.4;21;82.25;1.266667;
2017-02-24;2;9.2;0;31.4;25.64;21.8;84.75;1.266667;
2017-02-25;2.4;9.4;0;31.2;25.44;22.2;80.75;2;
2017-02-26;3.3;8;0;30.4;24.96;21.4;87;2.433333;
2017-02-27;3.3;9.1;0;32.2;25.28;20.6;86.25;.966667;
2017-02-28;1.5;3.8;0;32.6;26;21.8;80.5;1.633333;
2017-03-01;2.4;4.1;0;30.8;25.68;22.8;83.5;.966667;
2017-03-02;2.5;10.4;0;34.4;27.28;21.4;76.5;1.666667;
2017-03-03;3.5;4.4;0;33.2;25.92;22.8;89.75;1.033333;
2017-03-04;1.7;0;6.4;26;23.64;22.4;95.25;1.3;
2017-03-05;1.8;3.8;2.8;28.4;24.12;21.8;80;3.5;
2017-03-06;1.5;7.2;0;30;23.72;18.6;82.5;1.533333;
2017-03-07;2.5;8.7;0;30.4;24.4;20.2;79.75;1.933333;
2017-03-08;3.5;8.2;0;32;25.36;21.6;85.75;2.633333;
2017-03-09;3.9;4.6;8;34.4;25.04;20.6;78.5;3.966667;
2017-03-10;3.2;3.8;66.6;28.4;22.64;20.4;91;1.533333;
2017-03-11;1.5;2.1;0;26.6;21.68;17;88;2.366667;
2017-03-12;2.1;2.6;109.9;25;20.24;18.4;77.5;1.166667;
2017-03-13;1.3;11;2.5;25.4;16.92;10.6;79;.933333;
2017-03-14;2.8;10.9;0;26.6;18.28;10.6;74;3.733333;
2017-03-15;3.8;9.2;0;35.2;24.84;15;76.5;1.533333;
2017-03-16;3.3;0;26.3;26.2;21;19.2;90.25;1.366667;
2017-03-17;.9;9.8;.1;22.6;16.48;12.8;76.75;2.433333;
2017-03-18;2.7;10.3;0;24.2;18.16;11.6;71;3.566667;
2017-03-19;4;5.8;0;25.8;20.12;14.8;79.5;2.4;
2017-03-20;2.3;10.6;0;27.4;21.2;15.8;76.5;2.633333;
2017-03-21;3.7;9.1;0;28.8;22.16;17.4;76.75;3.166667;
2017-03-22;3.4;7.2;0;29.6;23.2;18.8;80;2.266667;
2017-03-23;2.8;5.1;.2;30.4;23.6;20.2;82.75;1.3;
2017-03-24;1.8;6.8;0;30;22.48;17.8;83;1.066667;
2017-03-25;2.3;6.5;0;28.2;22.6;18.8;77.75;2.633333;
2017-03-26;3.2;9.2;0;28.6;22.96;19.4;78.5;3.3;
2017-03-27;3.2;6.3;0;29.8;23.36;20;81.75;1.6;
2017-03-28;2.8;9;0;28.8;22.48;19.2;74.25;2.466667;
2017-03-29;3.9;9;0;28.4;21.84;18;72.75;3.466667;
2017-03-30;4.5;10.5;0;29;22.08;16.8;69.5;2.8;
2017-03-31;4.5;9.4;0;28.2;21.32;17;69;2.633333;
2017-04-01;4.3;10.6;0;28;20.96;16;68.5;2.966667;
2017-04-02;4.7;10.5;0;28.6;21.72;16.2;68.75;2.1;
2017-04-03;3.5;6.5;0;31.8;23.96;18.4;77.75;1.233333;
2017-04-04;3.3;3.4;0;31.8;25.28;20.2;64.75;2;
