Nome: Santa Vitoria do Palmar - Barra do Chui
Codigo Estacao: A899
Latitude: -33.742297
Longitude: -53.372218
Altitude: 7.41
Situacao: Operante
Data Inicial: 2017-01-01
Data Final: 2017-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-01-01;.2;1005.904167;22.808333;32.7;24.545833;20.5;90.75;null;8.4;2.208333;
2017-01-02;0;1011.804167;20.183333;25.6;23.495833;22.1;82.125;null;9.3;5.9625;
2017-01-03;0;1007.370833;20.045833;27.2;22.525;20;86.041667;null;19.3;4.658333;
2017-01-04;7.4;1003.908333;19.708333;27.4;22.854167;19.8;82.916667;null;13.8;3.1;
2017-01-05;0;1008.3375;19.6;28.8;23.2;20.7;80.875;null;17.4;5.441667;
2017-01-06;0;1016.783333;13.483333;24.8;20.770833;17.8;63.5;null;16.4;5.6125;
2017-01-07;0;1012.625;18.004167;28.4;21.5125;16.3;81.208333;null;11.5;4.533333;
2017-01-08;.2;1008.320833;22.079167;27.9;23.420833;21;92.333333;null;9.4;3.545833;
2017-01-09;0;1002.7625;22.5;28.7;24.195833;22.2;90.583333;null;12.7;3.629167;
2017-01-10;14.8;1006.591667;19.275;23.5;22.041667;20.5;85.125;null;14.9;6.7625;
2017-01-11;0;1013.916667;15.566667;26.1;21.3875;15.1;69.916667;null;11.4;4;
2017-01-12;0;1013.908333;17.779167;29.2;22.0625;16.6;77.958333;null;10.1;3.6375;
2017-01-13;0;1007.504167;19.933333;33.3;24.25;20.6;78.25;null;20.8;6.120833;
2017-01-14;10;1010.1875;15.954167;24.8;21.466667;19.4;71.083333;null;12.9;6.066667;
2017-01-15;0;1010.308333;18.1375;26.4;21.7625;16.7;80.166667;null;10.7;4.933333;
2017-01-16;0;1007.1125;21.625;23.6;22.604167;21.9;94.166667;null;15.2;7.004167;
2017-01-17;22;1001.616667;22.275;27.2;23.408333;21.7;93.625;null;13.9;4.241667;
2017-01-18;.2;1008.504167;19.291667;25.1;22.545833;20.1;82.666667;null;10.3;5.829167;
2017-01-19;0;1016.820833;18.429167;26.1;22.6125;19.1;77.416667;null;12.3;5.5;
2017-01-20;0;1018.908333;19.1875;27.9;22.320833;17.5;82.958333;null;11.2;4.041667;
2017-01-21;0;1018.45;19.3;26.9;22.420833;17.6;82.958333;null;10.3;3.8625;
2017-01-22;0;1015.379167;19.554167;27.7;22.729167;17.5;82.958333;null;8;3.166667;
2017-01-23;.2;1013.9625;21.125;28.4;23.8125;19.8;85.416667;null;7.8;3.441667;
2017-01-24;0;1008.341667;21.666667;29.2;24.033333;20;87.125;null;10.2;3.575;
2017-01-25;.2;1007.145833;18.720833;25.7;21.9;18.3;82.666667;null;16.9;6.2125;
2017-01-26;17.4;1013.85;15.366667;22.2;20.441667;18.2;73;null;15.4;8.916667;
2017-01-27;4.8;1017.495833;14.775;23.1;19.8375;15.8;73.583333;null;13.2;5.5125;
2017-01-28;0;1018.666667;15.770833;26.7;20.6125;13.8;74.583333;null;9;3.391667;
2017-01-29;0;1018.425;19.05;27.4;22.1625;16.9;82.875;null;11.2;4.329167;
2017-01-30;0;1016.041667;22.75;27.6;24.654167;22.6;89.375;null;12.3;5.620833;
2017-01-31;0;1013.1125;23.4375;30;25.35;23.9;89.416667;null;12.1;5.1875;
2017-02-01;.4;1008.175;22.745833;29.6;24.320833;24;91.125;null;13;3.716667;
2017-02-02;75.8;1004.725;22.779167;27.4;24.083333;20.9;92.666667;null;12.6;2.770833;
2017-02-03;19.6;1006.279167;22.483333;26.9;23.9875;21;91.583333;null;8.1;3.8625;
2017-02-04;.2;1007.491667;22.441667;28.4;24.483333;20.4;88.625;null;10.8;3.833333;
2017-02-05;19.8;1002.091667;19.304167;28.1;24.229167;21.4;75.5;null;21.4;7.241667;
2017-02-06;0;1006.45;15.575;24;19.7875;16.4;77.416667;null;16.2;8.141667;
2017-02-07;0;1012.8125;13.9625;21.6;18.375;13.7;76.583333;null;10.4;5.079167;
2017-02-08;0;1015.066667;15.966667;26.1;21.5875;18.6;70.666667;null;11.9;5.304167;
2017-02-09;0;1014.283333;19.283333;26.6;23.2;21.1;78.791667;null;11.7;6.579167;
2017-02-10;0;1011.85;22.208333;25.9;23.554167;22.6;92.291667;null;11.1;4.629167;
